縣市別代碼,年別,項目,原始值[統計數值],年增率[%]
63000,89年,10月,82.23,1.2
63000,89年,11月,82.66,2.19
63000,89年,12月,82.12,1.78
63000,89年,年指數,81.35,1.59
63000,90年,1月,83.16,3.79
63000,90年,2月,80.96,-1.11
63000,90年,3月,80.87,1.17
63000,90年,4月,81.52,1.06
63000,90年,5月,81.4,0.2
63000,90年,6月,81.43,0.14
63000,90年,7月,81.3,0.5
63000,90年,8月,81.97,1.01
63000,90年,9月,82.06,0.01
63000,90年,10月,82.85,0.76
63000,90年,11月,81.89,-0.93
63000,90年,12月,80.98,-1.38
63000,90年,年指數,81.7,0.43
63000,91年,1月,80.9,-2.72
63000,91年,2月,82.32,1.69
63000,91年,3月,80.46,-0.5
63000,91年,4月,81.29,-0.28
63000,91年,5月,80.96,-0.54
63000,91年,6月,81.42,-0.01
63000,91年,7月,81.49,0.23
63000,91年,8月,81.46,-0.62
63000,91年,9月,81.52,-0.66
63000,91年,10月,82.24,-0.74
63000,91年,11月,82.01,0.14
63000,91年,12月,81.53,0.68
63000,91年,年指數,81.47,-0.28
63000,92年,1月,81.98,1.33
63000,92年,2月,80.7,-1.97
63000,92年,3月,80.78,0.39
63000,92年,4月,81.86,0.7
63000,92年,5月,81.5,0.68
63000,92年,6月,80.78,-0.78
63000,92年,7月,80.62,-1.06
63000,92年,8月,80.88,-0.71
63000,92年,9月,81.23,-0.35
63000,92年,10月,82.12,-0.14
63000,92年,11月,81.75,-0.31
63000,92年,12月,82.02,0.6
63000,92年,年指數,81.35,-0.14
63000,93年,1月,82.95,1.19
63000,93年,2月,81.67,1.19
63000,93年,3月,81.81,1.28
63000,93年,4月,82.89,1.26
63000,93年,5月,82.71,1.48
63000,93年,6月,82.94,2.67
63000,93年,7月,83.87,4.04
63000,93年,8月,83.87,3.7
63000,93年,9月,84.3,3.77
63000,93年,10月,84.68,3.12
63000,93年,11月,83.53,2.17
63000,93年,12月,83.86,2.24
63000,93年,年指數,83.26,2.34
63000,94年,1月,83.47,0.63
63000,94年,2月,84.57,3.55
63000,94年,3月,84.01,2.68
63000,94年,4月,84.62,2.08
63000,94年,5月,84.95,2.71
63000,94年,6月,85.03,2.52
63000,94年,7月,85.75,2.24
63000,94年,8月,86.41,3.02
63000,94年,9月,86.33,2.41
63000,94年,10月,86.83,2.54
63000,94年,11月,85.59,2.47
63000,94年,12月,85.34,1.76
63000,94年,年指數,85.24,2.38
63000,95年,1月,85.6,2.55
63000,95年,2月,84.65,0.1
63000,95年,3月,84.55,0.64
63000,95年,4月,85.77,1.37
63000,95年,5月,86.25,1.53
63000,95年,6月,86.33,1.53
63000,95年,7月,86.98,1.44
63000,95年,8月,86.48,0.09
63000,95年,9月,85.96,-0.42
63000,95年,10月,86.14,-0.8
63000,95年,11月,85.55,-0.05
63000,95年,12月,85.5,0.19
63000,95年,年指數,85.82,0.68
63000,96年,1月,85.43,-0.19
63000,96年,2月,86.75,2.48
63000,96年,3月,85.14,0.71
63000,96年,4月,86.37,0.7
63000,96年,5月,86.66,0.47
63000,96年,6月,87,0.78
63000,96年,7月,87.15,0.19
63000,96年,8月,88.1,1.87
63000,96年,9月,88.53,2.98
63000,96年,10月,90.17,4.68
63000,96年,11月,89.46,4.57
63000,96年,12月,88.7,3.74
63000,96年,年指數,87.46,1.91
63000,97年,1月,88.31,3.37
63000,97年,2月,89.77,3.47
63000,97年,3月,88.5,3.94
