日期,備轉容量(萬瓩),備轉容量率(%)
20241122,866.5,27.99
20241123,601.9,21.73
20241124,518.8,19.14
20241125,728.9,23.31
20241126,877.1,28.37
20241127,959.9,32
20241128,580.3,19.68
20241129,1079.3,36.93
20241130,371.7,13.73
20241201,290.2,10.93
20241202,435,14.37
20241203,722.5,23.56
20241204,848.2,27.73
20241205,799.2,26.21
20241206,821.5,26.55
20241207,423.9,15.32
20241208,557.1,21.01
20241209,518,17.52
20241210,881.9,29.17
20241211,747.8,24.4
20241212,870.7,28.82
20241213,684.6,22.53
20241214,351.9,12.73
20241215,341.7,12.65
20241216,250.5,8.48
20241217,793.1,26.54
20241218,338,11.34
20241219,311.1,10.32
20241220,999.1,33.81
20241221,407.4,14.58
20241222,382.7,13.89
20241223,336.6,11.17
20241224,382.2,12.69
20241225,469.4,15.68
20241226,777.8,26.17
20241227,601.9,20.29
20241228,502.8,18.2
20241229,480,17.74
20241230,351.8,12.18
20241231,1042.9,36.26
