date,reserve_capacity_mw,reserve_margin_pct
2025-10-30,7241.0,21.23
2025-10-31,9329.0,28.18
2025-11-01,3312.0,11.44
2025-11-02,4498.0,16.15
2025-11-03,8226.0,25.83
2025-11-04,7979.0,24.52
2025-11-05,5730.0,17.28
2025-11-06,7040.0,20.72
2025-11-07,6574.0,18.97
2025-11-08,3536.0,11.65
2025-11-09,4519.0,15.34
2025-11-10,3773.0,11.43
2025-11-11,7559.0,23.33
2025-11-12,6939.0,22.93
2025-11-13,9125.0,28.21
2025-11-14,8144.0,25.4
2025-11-15,4125.0,14.23
2025-11-16,2720.0,9.48
2025-11-17,7030.0,21.55
