date,reserve_capacity_mw,reserve_margin_pct
2022-12-25,4359.0,16.26
2022-12-26,4510.0,15.48
2022-12-27,4710.0,16.09
2022-12-28,3699.0,12.75
2022-12-29,3640.0,12.39
2022-12-30,4450.0,15.57
2022-12-31,4036.0,15.41
2023-01-01,3899.0,15.21
2023-01-02,4517.0,17.08
2023-01-03,5601.0,18.99
2023-01-04,5303.0,17.91
2023-01-05,3804.0,12.64
2023-01-06,4290.0,14.59
2023-01-07,4765.0,17.16
2023-01-08,3413.0,12.92
2023-01-09,3745.0,12.69
2023-01-10,3472.0,11.63
2023-01-11,3706.0,12.57
2023-01-12,2422.0,8.11
2023-01-13,4198.0,14.07
2023-01-14,4032.0,14.73
2023-01-15,5063.0,19.5
2023-01-16,4791.0,16.71
2023-01-17,4579.0,15.97
2023-01-18,5706.0,20.34
2023-01-19,6840.0,26.7
2023-01-20,5936.0,24.99
2023-01-21,4914.0,22.09
2023-01-22,5319.0,24.65
2023-01-23,6666.0,31.06
2023-01-24,4643.0,20.44
2023-01-25,3771.0,16.08
2023-01-26,5318.0,22.21
2023-01-27,4815.0,19.53
2023-01-28,4075.0,15.98
2023-01-29,4211.0,16.28
2023-01-30,5566.0,19.77
2023-01-31,4350.0,15.26
2023-02-01,3887.0,13.53
2023-02-02,4780.0,16.5
2023-02-03,4807.0,16.72
2023-02-04,5015.0,18.06
2023-02-05,4758.0,18.24
2023-02-06,2243.0,7.61
2023-02-07,4476.0,15.14
2023-02-08,5079.0,17.25
2023-02-09,3063.0,10.2
2023-02-10,6506.0,21.66
2023-02-11,4082.0,15.26
2023-02-12,3804.0,14.5
2023-02-13,3398.0,11.05
2023-02-14,4456.0,15.26
2023-02-15,3588.0,12.22
2023-02-16,3490.0,11.87
2023-02-17,4497.0,15.36
2023-02-18,3616.0,12.92
2023-02-19,5164.0,19.7
2023-02-20,3715.0,12.72
2023-02-21,2818.0,9.5
2023-02-22,3707.0,12.59
2023-02-23,3332.0,11.27
2023-02-24,5527.0,19.12
2023-02-25,4849.0,18.28
2023-02-26,4318.0,16.84
2023-02-27,6080.0,24.14
2023-02-28,4406.0,16.76
2023-03-01,5315.0,18.33
2023-03-02,4367.0,15.03
2023-03-03,5971.0,20.7
2023-03-04,4452.0,16.88
2023-03-05,4619.0,17.93
2023-03-06,4400.0,15.08
2023-03-07,4737.0,16.1
2023-03-08,4110.0,13.97
2023-03-09,6294.0,21.23
2023-03-10,5876.0,19.8
2023-03-11,4372.0,16.38
2023-03-12,6362.0,24.49
2023-03-13,5326.0,18.26
2023-03-14,5425.0,18.28
2023-03-15,5863.0,19.58
2023-03-16,4679.0,15.4
2023-03-17,4593.0,15.14
2023-03-18,5105.0,19.18
2023-03-19,4031.0,15.29
2023-03-20,4337.0,14.15
2023-03-21,5005.0,16.03
2023-03-22,4024.0,12.45
2023-03-23,6766.0,21.05
2023-03-24,3986.0,12.54
2023-03-25,8278.0,28.29
2023-03-26,5150.0,19.71
2023-03-27,4642.0,15.59
2023-03-28,5077.0,16.86
2023-03-29,3782.0,12.38
2023-03-30,4849.0,15.97
2023-03-31,5561.0,18.71
2023-04-01,4534.0,16.83
2023-04-02,5544.0,21.59
2023-04-03,4665.0,18.16
2023-04-04,4452.0,16.86
2023-04-05,3716.0,13.84
2023-04-06,2498.0,8.11
2023-04-07,7352.0,24.73
2023-04-08,6248.0,23.51
2023-04-09,4887.0,18.72
